SECCION,CASILLA,LOCALIDAD,DOMICILIO
331,B1,ATARJEA,"CASA DE CULTURA, CALLE PLAZA DEL MAóZ, SIN NÚMERO, ZONA CENTRO, CóDIGO POSTAL 37940, ATARJEA, GUANAJUATO, FRENTE A FARMACIA ISSEG Y OFICINA DE TELECOM"
331,C1,ATARJEA,"CASA DE CULTURA, CALLE PLAZA DEL MAóZ, SIN NÚMERO, ZONA CENTRO, CóDIGO POSTAL 37940, ATARJEA, GUANAJUATO, FRENTE A FARMACIA ISSEG Y OFICINA DE TELECOM"
332,B1,EL DURAZNO,"ESCUELA PRIMARIA ESTATAL NÚMERO 1 JUSTO SIERRA, CALLE PRINCIPAL, SIN NÚMERO, LOCALIDAD EL DURAZNO, CóDIGO POSTAL 37940, ATARJEA, GUANAJUATO, EN LA éNICA PRIMARIA DE LA LOCALIDAD"
332,E1,MANGAS CUATAS,"ESCUELA PRIMARIA ESTATAL NIñOS HROES NÚMERO 5 , CALLE PRINCIPAL, SIN NÚMERO, LOCALIDAD MANGAS CUATAS, CóDIGO POSTAL, 37940, ATARJEA, GUANAJUATO., A UN COSTADO DE LA CANCHA DE USOS MéLTIPLES"
332,E2,EL TORO,"ESCUELA PRIMARIA RURAL JOS MARóA MORELOS, DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD EL TORO, CóDIGO POSTAL 37940, ATARJEA, GUANAJUATO, A UN COSTADO DEL CAMINO PRINCIPAL DE ENTRADA A LA LOCALIDAD"
333,B1,SAN ANTON,"ESCUELA PRIMARIA REVOLUCIóN, CALLE PRINCIPAL, SIN NÚMERO, LOCALIDAD SAN ANTON, CóDIGO POSTAL 37940, ATARJEA, GUANAJUATO, FRENTE AL CAMINO PRINCIPAL"
333,E1,EL CARRICILLO,"ESCUELA PRIMARIA IGNACIO ALLENDE NÚMERO 6, CALLE IGNACIO ALLENDE, SIN NÚMERO, LOCALIDAD EL CARRICILLO, CóDIGO POSTAL 37940, ATARJEA, GUANAJUATO , A 100 METROS DEL AUDITORIO MUNICIPAL"
333,E1C1,EL CARRICILLO,"ESCUELA PRIMARIA IGNACIO ALLENDE NÚMERO 6, CALLE IGNACIO ALLENDE, SIN NÚMERO, LOCALIDAD EL CARRICILLO, CóDIGO POSTAL 37940, ATARJEA, GUANAJUATO , A 100 METROS DEL AUDITORIO MUNICIPAL"
334,B1,LOS ALAMOS,"COLEGIO DE ESTUDIOS CIENTóFICOS Y TECNOLóGICOS DEL ESTADO DE GUANAJUATO, DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD LOS ALAMOS, CóDIGO POSTAL 37940, ATARJEA, GUANAJUATO, A 80 METROS DE LAS BODEGAS"
335,B1,ALDAMA,"AUDITORIO DE ALDAMA, DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD ALDAMA, CóDIGO POSTAL 37940, ATARJEA, GUANAJUATO, A UN COSTADO DEL CAMINO A ATARJEA"
335,C1,ALDAMA,"AUDITORIO DE ALDAMA, DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD ALDAMA, CóDIGO POSTAL 37940, ATARJEA, GUANAJUATO, A UN COSTADO DEL CAMINO A ATARJEA"
740,B1,DOCTOR MORA,"ESCUELA PRIMARIA ESTATAL GENERAL LµZARO CµRDENAS, CALLE HIDALGO, NÚMERO 31, ZONA CENTRO, CóDIGO POSTAL 37960, DOCTOR MORA, GUANAJUATO, A UN COSTADO DE LA PLAZUELA"
740,C1,DOCTOR MORA,"ESCUELA PRIMARIA ESTATAL GENERAL LµZARO CµRDENAS, CALLE HIDALGO, NÚMERO 31, ZONA CENTRO, CóDIGO POSTAL 37960, DOCTOR MORA, GUANAJUATO, A UN COSTADO DE LA PLAZUELA"
740,C2,DOCTOR MORA,"ESCUELA PRIMARIA ESTATAL GENERAL LµZARO CµRDENAS, CALLE HIDALGO, NÚMERO 31, ZONA CENTRO, CóDIGO POSTAL 37960, DOCTOR MORA, GUANAJUATO, A UN COSTADO DE LA PLAZUELA"
740,C3,DOCTOR MORA,"ESCUELA PRIMARIA ESTATAL GENERAL LµZARO CµRDENAS, CALLE HIDALGO, NÚMERO 31, ZONA CENTRO, CóDIGO POSTAL 37960, DOCTOR MORA, GUANAJUATO, A UN COSTADO DE LA PLAZUELA"
741,B1,DOCTOR MORA,"DESARROLLO INTEGRAL DE LA FAMILIA DIF MUNICIPAL, CALLE JERECUARO, NÚMERO 37, ZONA CENTRO, CóDIGO POSTAL 37960, DOCTOR MORA, GUANAJUATO, FRENTE A LA PRIMARIA JOS MA. LUIS MORA"
741,C1,DOCTOR MORA,"DESARROLLO INTEGRAL DE LA FAMILIA DIF MUNICIPAL, CALLE JERECUARO, NÚMERO 37, ZONA CENTRO, CóDIGO POSTAL 37960, DOCTOR MORA, GUANAJUATO, FRENTE A LA PRIMARIA JOS MA. LUIS MORA"
741,C2,DOCTOR MORA,"DESARROLLO INTEGRAL DE LA FAMILIA DIF MUNICIPAL, CALLE JERECUARO, NÚMERO 37, ZONA CENTRO, CóDIGO POSTAL 37960, DOCTOR MORA, GUANAJUATO, FRENTE A LA PRIMARIA JOS MA. LUIS MORA"
741,C3,DOCTOR MORA,"DESARROLLO INTEGRAL DE LA FAMILIA DIF MUNICIPAL, CALLE JERECUARO, NÚMERO 37, ZONA CENTRO, CóDIGO POSTAL 37960, DOCTOR MORA, GUANAJUATO, FRENTE A LA PRIMARIA JOS MA. LUIS MORA"
742,B1,LOMA DE BUENAVISTA,"ESCUELA PRIMARIA RURAL NÚMERO 1 MIGUEL HIDALGO, CALLE PINO SUµREZ, SIN NÚMERO, LOCALIDAD LOMA DE BUENAVISTA, CóDIGO POSTAL 37960, DOCTOR MORA, GUANAJUATO, A UN COSTADO DE LA TELESECUNDARIA 268"
742,C1,LOMA DE BUENAVISTA,"ESCUELA PRIMARIA RURAL NÚMERO 1 MIGUEL HIDALGO, CALLE PINO SUµREZ, SIN NÚMERO, LOCALIDAD LOMA DE BUENAVISTA, CóDIGO POSTAL 37960, DOCTOR MORA, GUANAJUATO, A UN COSTADO DE LA TELESECUNDARIA 268"
743,B1,SACROMONTE,"ESCUELA PRIMARIA FEDERAL AQUILES SERDµN, AVENIDA VICTORIA, SIN NÚMERO, LOCALIDAD SACROMONTE, CóDIGO POSTAL 37960, DOCTOR MORA, GUANAJUATO, A MEDIA CUADRA DE LA IGLESIA"
744,B1,RANCHITO DE SAN JOSE,"ESCUELA PRIMARIA FEDERAL MIGUEL HIDALGO, CALLE LIBERTAD, SIN NÚMERO, LOCALIDAD RANCHITO DE SAN JOSE, CóDIGO POSTAL 37960, DOCTOR MORA, GUANAJUATO, A UN COSTADO DE LA IGLESIA"
744,C1,RANCHITO DE SAN JOSE,"ESCUELA PRIMARIA FEDERAL MIGUEL HIDALGO, CALLE LIBERTAD, SIN NÚMERO, LOCALIDAD RANCHITO DE SAN JOSE, CóDIGO POSTAL 37960, DOCTOR MORA, GUANAJUATO, A UN COSTADO DE LA IGLESIA"
